Nome,Finalidade,Tipo de Imóvel,Estado,Preço de venda,Distrito,Concelho,Freguesia,Referência
Lote,Venda,Lote,N/D,52.500 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200085
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Construção,117.500 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200084
Armazém,Venda,Armazém,Usado,790.000 €,Braga,Braga,Ferreiros e Gondizalves,314200083
Armazém,Venda,Armazém,Usado,790.000 €,Braga,Braga,Ferreiros e Gondizalves,314200082
Moradia,Venda,Moradia,Usado,110.000 €,Braga,Braga,Ferreiros e Gondizalves,314200079
Terreno,Venda,Terreno,N/D,100.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200077
Terreno Rústico,Venda,Terreno Rústico,N/D,91.500 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200076
Lote,Venda,Lote,N/D,39.000 €,Braga,Braga,Priscos,314200074
Lote,Venda,Lote,N/D,32.000 €,Braga,Braga,Ruilhe,314200073
Lote,Venda,Lote,N/D,37.000 €,Braga,Braga,Ruilhe,314200072
Moradia 5 quartos,Venda,Moradia,Usado,225.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200071
Moradia 3 quartos,Venda,Moradia,Novo,270.000 €,Braga,Braga,Gualtar,285200042
Moradia Geminada 3 quartos,Venda,Moradia Geminada,Novo,400.000 €,Braga,Braga,Braga (São Vicente),285200041
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,340.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200070
Terreno Para Construção,Venda,Terreno Para Construção,N/D,70.000 €,Braga,Braga,Ruilhe,314200069
Lote,Venda,Lote,N/D,34.000 €,Braga,Braga,Ruilhe,314200068
Lote,Venda,Lote,N/D,30.000 €,Braga,Braga,Ruilhe,314200067
Moradia Geminada 3 quartos,Venda,Moradia Geminada,Novo,400.000 €,Braga,Braga,Braga (São Vicente),285200040
Lote,Venda,Lote,N/D,36.000 €,Braga,Braga,Priscos,314200065
Lote,Venda,Lote,N/D,35.000 €,Braga,Braga,Priscos,314200064
Terreno Para Construção,Venda,Terreno Para Construção,N/D,33.000 €,Braga,Braga,Arentim e Cunha,314200063
Lote,Venda,Lote,N/D,30.000 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200061
