Nome,Preço,Preço m/2,Distrito,Concelho,Freguesia,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Apartamento T2+1 em Braga,149 900 ,1 684 ,Braga (distrito),Braga,São Vicente,,,89 m²,98 m²,,,,True,,True,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1 junto ao colégio Dom Diogo de Sousa em Braga,139 500 ,2 583 ,Braga (distrito),Braga,São Victor,,,54 m²,56 m²,,,,True,,True,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2+1 no centro histórico de Braga,149 900 ,1 684 ,Braga (distrito),Braga,São Vicente,,,89 m²,98 m²,,,True,,,,,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplo apartamento T3 com sotão perto do centro de Braga,149 900 ,967 ,Braga (distrito),Braga,São Victor,,,155 m²,155 m²,,,,True,True,True,True,,,,,,,True,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 de luxo - Real - Braga,192 500 ,1 458 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,132 m²,,,,,,,True,True,,True,True,True,,True,,True,,,True,True,,True,,,,True,,,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 de luxo - Real - Braga,175 000 ,1 591 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,110 m²,,,,,,,True,True,,True,True,True,,True,,True,,,True,True,,True,,,,,,,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1 de luxo - Real - Braga,110 000 ,1 833 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,60 m²,,,,,,,True,True,,True,True,True,,,,True,,,True,True,,True,,,,,,,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 de luxo - Real - Braga,175 000 ,1 458 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,120 m²,162 m²,,,,,,True,True,,True,True,True,,True,,True,,,True,True,,True,,,,True,,,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 de luxo - Real - Braga,162 500 ,1 548 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,105 m²,134 m²,,,,,,True,True,,True,True,True,,,True,True,,,True,True,,,,,,True,,,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 NOVO na Qta. da Naia em Ferreiros, Braga!",162 900 ,1 358 ,Braga (distrito),Braga,Ferreiros e Gondizalves,,,120 m²,,,,,True,,,,,True,True,True,,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 c/NOVO em S. Vitor, Braga!",159 900 ,1 538 ,Braga (distrito),Braga,São Victor,,,104 m²,119 m²,,,,True,,,,,,True,True,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 Cobertura Junto ao Centro de Braga em Real!,224 900 ,1 136 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,198 m²,293 m²,,,,True,True,,,,True,True,True,,,,,,,,True,,,,True,,,,,,,,True,,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lote de Terreno P/Construção de Moradia Geminada em Semelhe, Braga!",49 900 ,108 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 c/133 m2 NOVO na Qta. da Naia em Ferreiros, Braga!",174 900 ,1 315 ,Braga (distrito),Braga,Ferreiros e Gondizalves,,,133 m²,,,,,True,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
