Nome,Preço,Preço m/2,Distrito,Concelho,Freguesia,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Luxuoso T3 com piscina,250 000 ,1 603 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,156 m²,190 m²,,,,,True,True,,,True,True,,,True,,,True,,True,True,,,,,,True,,,,True,,,True,,True,True,True,,,,True,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia Banda T4 - S. Vitor - Junto ao Hospital,169 000 ,1 536 ,Braga (distrito),Braga,São Victor,,,110 m²,126 m²,,,,True,,True,True,,,True,True,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 Cobertura com Terraço 200m2 +140m2 terraço,420 000 ,2 100 ,Braga (distrito),Braga,São Victor,,,200 m²,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia Invidiviual T3 S. Paio Merelim,182 500 ,1 025 ,Braga (distrito),Braga,"Merelim (São Paio), Panoias e Parada de Tibães",,,178 m²,360 m²,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T2 c/ garagem, junto à G...",,,Braga (distrito),Braga,São Victor,,,120 m²,150 m²,,,,,True,,True,,True,True,,,,,,True,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T2 c/ garagem, junto à G...",,,Braga (distrito),Braga,São Victor,,,100 m²,120 m²,,,,,True,,True,,True,True,,,,,,True,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 Renovado ao lado Arco da Porta Nova com Terraço,180 000 ,1 385 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,130 m²,180 m²,,,True,True,True,True,True,,True,True,True,,True,,,True,,,True,,True,True,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnífico T4 em Condomínio Fechado com piscina,280 000 ,1 538 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,182 m²,"240,60 m²",,,,,,True,,,True,True,,,True,,True,True,,True,True,,True,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prédio T4 unifamiliar, para recuperar em Real Semelhe e Dume, Braga",199 900 ,727 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,275 m²,412 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T3 duplex c/ jacuzzi, te...",245 000 ,1 416 ,Braga (distrito),Braga,São Victor,,,173 m²,188 m²,,,,,True,,,,True,True,,,True,,,True,,True,True,,,,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa do Paço de S. Mamede!,1 750 000 ,194 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),,,451 m²,536 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terreno Urbanizável Amplo com 5512 m2 em Espinho, Braga",265 000 ,48 ,Braga (distrito),Braga,Sobreposta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T3 Novo, lugar de garagem, terraço, Largo dos Penedos em S. Vicente  Braga",360 000 ,3 103 ,Braga (distrito),Braga,São Vicente,,,116 m²,194 m²,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T2 Novo, lugar de garagem, varandas Largo dos Penedos em S. Vicente  Braga",300 000 ,3 529 ,Braga (distrito),Braga,São Vicente,,,85 m²,101 m²,,,,,True,,,,,True,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T3 Novo logradouro, lugar de garagem, Largo dos Penedos em S. Vicente  Braga",425 000 ,2 993 ,Braga (distrito),Braga,São Vicente,,,142 m²,291 m²,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia individual de luxo em Tenões, Braga - Um ""oásis"" tecnológico!",695 000 ,2 158 ,Braga (distrito),Braga,Nogueiró e Tenões,,,322 m²,521 m²,,,,True,True,,True,,,True,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,True,,True,,,,,,,,,,True,,,,,,True,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venda Moradia Gaveto T3 em S. Mamede (Este), Braga",279 000 ,996 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),,,280 m²,,,,,,True,True,,,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,True,True,True,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venda Moradia Ind. T3 de Luxo em Maximinos, Braga",495 000 ,1 320 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,375 m²,,,,,,,True,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta Rural,330 000 ,18 ,Braga (distrito),Braga,Adaúfe,,,100 m²,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venda Moradia Banda T4 Nova em Parada de Tibães, Braga",260 000 ,963 ,Braga (distrito),Braga,"Merelim (São Paio), Panoias e Parada de Tibães",,,270 m²,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,True,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venda Moradia Individual T5 em Tenões, Braga",319 000 ,1 042 ,Braga (distrito),Braga,Nogueiró e Tenões,,,306 m²,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venda de Moradia V4 de luxo com piscina, Tenões, Braga",495 000 ,1 303 ,Braga (distrito),Braga,Nogueiró e Tenões,,,380 m²,1 048 m²,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia V3 em Tenões,220 000 ,1 803 ,Braga (distrito),Braga,Nogueiró e Tenões,,,122 m²,,,,,,True,True,True,,,True,,,,,,,,,,,,,,,True,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vende-se Moradia Individual Nogueira - c/Piscina,559 900 ,1 555 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,,360 m²,576 m²,,,,True,,True,True,,True,True,True,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vende-se T3 S. José S. Lázaro - RENOVADO,124 900 ,1 237 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,101 m²,115 m²,,,,,,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia Térrea em Navarra para Venda!,89 000 ,1 271 ,Braga (distrito),Braga,Santa Lucrécia de Algeriz e Navarra,,,70 m²,145 m²,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 Renovado,179 000 ,1 492 ,Braga (distrito),Braga,São Victor,,,120 m²,145 m²,,,,,True,,,,True,True,,,True,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andar Moradia V6 próximo a Universidade,185 000 ,1 156 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),,,160 m²,,,,,,,True,True,,,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
Apartamento T2+1 em S. Vitor - Braga,109 000 ,1 363 ,Braga (distrito),Braga,Sequeira,,,80 m²,108 m²,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 em Braga, S. Vítor",145 000 ,1 368 ,Braga (distrito),Braga,São Victor,,,106 m²,128 m²,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T1+1 NOVO no Centro Histórico de Braga, Rua do Carvalhal!",145 000 ,2 736 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,53 m²,53 m²,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1+1 NOVO “Totalmente Mobilado e Equipado”!,145 000 ,2 589 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,56 m²,56 m²,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia para Restauro no Centro de Pedralva, Braga",135 000 ,938 ,Braga (distrito),Braga,Pedralva,,,144 m²,288 m²,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 de Cobertura em S. Vitor, Braga!",174 900 ,1 345 ,Braga (distrito),Braga,São Victor,,,130 m²,144 m²,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 NOVO no centro histórico de Braga,519 000 ,3 053 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,170 m²,170 m²,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 NOVO no centro histórico de Braga,450 000 ,2 647 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,170 m²,170 m²,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2+1 NOVO no centro histórico de Braga,254 000 ,2 540 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,100 m²,100 m²,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 NOVO no centro histórico de Braga,185 000 ,2 643 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,70 m²,70 m²,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Geminada T4 , próximo da Universidade do Minho, e...",235 000 ,1 049 ,Braga (distrito),Braga,Gualtar,,,224 m²,294 m²,,,,,True,,True,,True,True,,,True,,,,,,,,,,True,,,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"moradias individuais, churrasqueira, piscina, celeiros, braga, luxo, d",260 000 ,1 000 ,Braga (distrito),Braga,"Celeirós, Aveleda e Vimieiro",,,260 m²,,,,,,True,True,True,,,True,,,,,,True,,True,,,,,,,True,,,,,True,,,,,True,True,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 - Palmeira,114 000 ,1 253 ,Braga (distrito),Braga,Palmeira,,,91 m²,116 m²,,,,,,,,,True,True,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia V3 (3 Suites),232 500 ,1 217 ,Braga (distrito),Braga,Nogueiró e Tenões,,,191 m²,,,,,,True,True,,,,True,True,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 c/NOVO em S. Vitor, Braga!",159 900 ,1 538 ,Braga (distrito),Braga,São Victor,,,104 m²,119 m²,,,,True,True,,,,,True,,,,,,,,,True,,,,,,,,,,,True,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 Junto ao Complexo Desportivo da Rodovia,153 000 ,1 177 ,Braga (distrito),Braga,São Victor,,,130 m²,130 m²,,,,,True,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia Gaveto - Frossos - Braga,247 500 ,907 ,Braga (distrito),Braga,Merelim (São Pedro) e Frossos,,,273 m²,273 m²,,,,,True,True,,,,True,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia em Banda T4 Venda em Nogueira, Fraião e Lamaçães,Braga",290 000 ,952 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,,"304,50 m²",,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T2 Térrea Renovada C/ 1500 m2 de terreno em Este S. Pedro,160 000 ,1 684 ,Braga (distrito),Braga,Nogueiró e Tenões,,,95 m²,95 m²,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 próximo ao INL,260 000 ,1 625 ,Braga (distrito),Braga,Nogueiró e Tenões,,,160 m²,,,,,,True,True,True,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 Venda em Braga (São Vítor),Braga",179 000 ,1 444 ,Braga (distrito),Braga,São Victor,,,124 m²,"142,30 m²",,,,,,True,,,,True,,,,,True,True,,,True,,,,,,,,,,,True,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 em Maximinos,150 000 ,1 429 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,105 m²,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 em S. Vicente, muito próximo de centro de Braga",134 500 ,1 121 ,Braga (distrito),Braga,São Vicente,,,120 m²,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 em Braga | Vende-se mobilado,76 000 ,691 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,110 m²,,,,,,True,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 na Quinta dos Apóstolos, em Ferreiros",85 000 ,726 ,Braga (distrito),Braga,Ferreiros e Gondizalves,,,117 m²,132 m²,,,,True,True,,True,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 remodelado no centro da cidade,180 000 ,1 200 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,150 m²,150 m²,,,,True,,,True,,True,,True,,,,,,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento andar moradia em bom muito estado, excelente ...",164 500 ,578 ,Braga (distrito),Braga,Merelim (São Pedro) e Frossos,,,"284,50 m²",,,,,,True,,True,,True,True,,,True,,,,,,,,,,True,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 Cobertura Junto ao Centro de Braga em Real!,224 900 ,1 136 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,198 m²,293 m²,,,,True,True,,,,,True,,,,,,,,,True,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T3 semi-nova, em banda, em Pousada, Braga.",249 900 ,1 602 ,Braga (distrito),Braga,Crespos e Pousada,,,156 m²,182 m²,,,,True,True,,,,,True,,,,,,,,True,,,,,,,,,,,True,,,True,,,,,True,,,True,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 em Braga,185 000 ,1 445 ,Braga (distrito),Braga,São Victor,,,128 m²,,,,,,True,,True,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 centro de Braga,289 000 ,1 781 ,Braga (distrito),Braga,São Victor,,,"162,30 m²","217,80 m²",,,,,True,,,,True,True,,,,,,,,,True,,,,,,,,,,,True,,True,,,,True,,,,True,,True,True,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 Venda em Braga (São Vicente),Braga",125 000 ,1 157 ,Braga (distrito),Braga,São Vicente,,,108 m²,118 m²,,,,True,,True,True,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T4 Venda em Braga (Maximinos, Sé e Cividade),Braga",550 000 ,2 750 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,200 m²,330 m²,,,,True,True,True,True,,,,True,,,,,,,,,,True,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 em Palmeira,115 000 ,1 186 ,Braga (distrito),Braga,Palmeira,,,97 m²,123 m²,,,,,,True,,,,,,,,,,True,,,True,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia Isolada em Braga,460 000 ,2 190 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,,210 m²,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Isolada T3 Venda em Adaúfe,Braga",350 000 ,1 882 ,Braga (distrito),Braga,Adaúfe,,,186 m²,,,,,,True,,True,,,,,,,,,True,,True,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 totalmente remodelado,117 500 ,1 237 ,Braga (distrito),Braga,São Victor,,,95 m²,,,,,True,,True,True,,,True,True,,,,,,,,,,,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia em Banda T4 Venda em Nogueira, Fraião e Lamaçães,Braga",150 000 ,508 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,,295 m²,320 m²,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
