Nome,Nº Quartos,Nº Casas de Banho,Nº Estacionamentos,Área Útil,Área Terreno,Certificado Energia,Finalidade,Tipo de Imóvel,Estado,Preço de Venda,Distrito,Concelho,Freguesia,Coordenadas,Referência,Infraestruturas,Tipo de modalidade,Zona,Constituição,Sistema de abastecimento de água,Caixilharia das Janelas,Climatização,Domótica,Edifício,Garagem,Vistas,Exposição Solar,Segurança
Moradia em Banda 4 quartos,4,4,2,287,197,,Venda,Moradia em Banda,Construção,260.000 €,Braga,Braga,Palmeira,"41.5833333,-8.4333333",260200005,,,"Acessos: Aeroporto, Auto-Estrada, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 3; ,Companhia; ,,,,,,,"Nascente, Poente; ",
Moradia Geminada 4 quartos,4,4,2,287,300,,Venda,Moradia Geminada,Construção,285.000 €,Braga,Braga,Palmeira,"41.5833333,-8.4333333",260200004,,,"Acessos: Aeroporto, Auto-Estrada, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 3; ,Companhia; ,,,,,,,"Nascente, Norte, Poente; ",
Moradia Geminada 3 quartos,3,3,2,300,280,,Venda,Moradia Geminada,Novo,330.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285200004,,,"Acessos: Bons; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 3; Nº Pisos: 3; ",Companhia; ,Dupla; Estores: Eléctricos; ,Ar Condicionado: Completo; ,"Churrasqueira, Gás Canalizado, Video-Porteiro; Aspiração Central: Completo; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Paredes: Pintadas; Tecto: Falso Pladur; Equipamento: Video-Porteiro; ",Área (m2): 26.25; ,Panorâmicas; ,"Nascente, Poente, Sul; ",
Apartamento 2 quartos,2,1,,90,,Cert.Energ.: C,Venda,Apartamento,Usado,140.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285200003,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Clínica, Escolas, Farmácia, Jardins, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 1; Nº Pisos: 8; ,Companhia; ,,,,Tipo empreendimento: Habitação; Revestimento Exterior: Cerâmica; ,,"Panorâmicas, Serra; ",Nascente; ,
Moradia em Banda 4 quartos,4,4,2,330,350,Cert.Energ.: E,Venda,Moradia em Banda,Usado,209.000 €,Braga,Braga,Palmeira,"41.5833333,-8.4333333",260200003,,,"Acessos: Aeroporto, Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Praias, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 2; Nº Pisos: 4; Vão de Telhado / Sotão; ",Companhia; ,"Aluminio, Vidro Duplo; Estores: PVC; ",Aquecimento Central: Completo; ,Gás Canalizado; Alarme: Completo; ,"Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Pintado; Pavimento: Tijoleira; Paredes: Pintadas; Tecto: Falso Pladur, Focos; Equipamento: Gás Canalizado; ","Água, Área (m2): 73.2, Casa de Banho, Eletricidade, Luz, Portão Automático; Local: Cave; ",Jardins; ,"Nascente, Poente; ",
Apartamento 3 quartos,3,2,1,112,,Cert.Energ.: C,Venda,Apartamento,Renovado,132.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285200002,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Centros Comerciais, Escolas, Farmácia, Ginásio, Hospital, Jardins, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 10; ,Companhia; ,Vidro Duplo; Estores: Alumínio; ,Esquentador; ,Gás Canalizado; ,Tipo empreendimento: Habitação; Revestimento Exterior: Tijolinho; Pavimento: Tijoleira; Paredes: Pintadas; Tecto: Estucado; Equipamento: Gás Canalizado; ,Local: Cave; ,Panorâmicas; ,"Nascente, Sul; ",
Lote,,,,182,168,,Venda,Lote,N/D,52.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260190198,Concluídas; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Apartamento 3 quartos,3,2,2,125,,Cert.Energ.: C,Venda,Apartamento,Usado,223.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260190197,,,"Acessos: Bons, Comboio, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Escolas, Farmácia, Padaria, Supermercado; ",Nº Frentes: 2; Nº Pisos: 12; ,Companhia; ,"Aluminio, Dupla; Estores: PVC; ",Aquecimento Central: Completo; ,,"Tipo empreendimento: Habitação; Revestimento Exterior: Mármore; Pavimento: Mármore; Paredes: Mármore; Tecto: Falso Pladur; Equipamento: Gás Canalizado, TV Cabo; ",Portão Automático; Local: Cave; ,"Panorâmicas, Serra; ",,
Apartamento 3 quartos,3,2,1,115,,Cert.Energ.: D,Venda,Apartamento,Novo,112.000 €,Braga,Braga,Ferreiros e Gondizalves,"41.5308233,-8.4414286",260190196,,,"Acessos: Auto-Estrada, Bons, Comboio, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 2; ,Companhia; ,"Aluminio; Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,,"Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Pintado; Pavimento: Pedra Natural; Paredes: Pintadas; Tecto: Estucado; ",Área (m2): 12; ,,"Norte, Sul; ",
Apartamento 3 quartos,3,2,1,103,,Cert.Energ.: E,Venda,Apartamento,Usado,150.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",314190256,,,,,,,,,,,,,
Terreno Para Construção,,,,930,930,,Venda,Terreno Para Construção,N/D,96.500 €,Braga,Braga,Palmeira,"41.5833333,-8.4333333",260190191,A Efectuar; ,Reservado p/ Urbanização; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Moradia 2 quartos,2,2,,50,50,,Venda,Moradia,Novo,110.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190170,,,"Acessos: Bons; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 2; ,Companhia; ,,,,Tipo empreendimento: Habitação; ,,Panorâmicas; ,"Norte, Sul; ",
Prédio 2 quartos,2,,,180,195,,Venda,Prédio,Usado,200.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260190187,,,"Acessos: Auto-Estrada, Bons, Comboio, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 2; Vão de Telhado / Sotão; ,,,,,,,Jardins; ,,
Lote,,,,,2890,,Venda,Lote,N/D,239.000 €,Braga,Braga,Mire de Tibães,"41.5665272697,-8.4793853759",260190186,,,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,750,,Venda,Lote,N/D,64.000 €,Braga,Braga,Mire de Tibães,"41.5665272697,-8.4793853759",260190185,,,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,700,,Venda,Lote,N/D,60.000 €,Braga,Braga,Mire de Tibães,"41.5665272697,-8.4793853759",260190184,,,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,600,,Venda,Lote,N/D,51.000 €,Braga,Braga,Mire de Tibães,"41.5665272697,-8.4793853759",260190183,,,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,840,840,,Venda,Lote,N/D,71.000 €,Braga,Braga,Mire de Tibães,"41.5665272697,-8.4793853759",260190182,,,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
Apartamento 3 quartos,3,2,1,141,,Cert.Energ.: C,Venda,Apartamento,Novo,349.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260190181,,,"Acessos: Auto-Estrada, Bons, Comboio, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 1; ,Companhia; ,"Aluminio, Vidro Duplo; ",Aquecimento Central: Completo; Ar Condicionado: Completo; ,"Gás Canalizado, Video-Porteiro; Alarme: Completo; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Monomassa; Pavimento: Pedra Natural; Paredes: Pedra Natural; Tecto: Falso Madeira; ","Área (m2): 25, Luz, Portão Automático; Local: Cave; ",Jardins; ,"Norte, Poente, Sul; ",
Lote,,,,668,668,,Venda,Lote,N/D,73.000 €,Braga,Braga,Lamas,"41.4969425006,-8.4331226348",260190180,,,,,,,,,,,,,
Moradia em Banda 3 quartos,3,4,2,300,326,Cert.Energ.: A,Venda,Moradia em Banda,Usado,415.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314190244,,,,,,,,,,,,,
Apartamento 2 quartos,2,2,,67,,Cert.Energ.: D,Venda,Apartamento,Renovado,140.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190168,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 14; ,Companhia; ,Vidro Duplo; ,,,Tipo empreendimento: Habitação; Revestimento Exterior: Tijolinho; Pavimento: Tijoleira; Paredes: Pintadas; Tecto: Estucado; Equipamento: Gás Canalizado; ,,Panorâmicas; ,"Poente, Sul; ",
Moradia em Banda 3 quartos,3,4,2,300,326,Cert.Energ.: A,Venda,Moradia em Banda,Novo,415.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",285190167,,,"Acessos: Bons; Centralidade: Periferia Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 3; ,Companhia; ,"Dupla, Vidro Duplo; Estores: Eléctricos, Térmicos; ","Cilindro Eléctrico, Painel Solar; Ar Condicionado: Completo; ","Estores Eléctricos, Rega Automática; Aspiração Central: Completo; Piscina: Exterior; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Tecto: Falso Pladur; Piscina: Exterior; ","Água, Casa de Banho, Eletricidade, Luz, Portão Automático; Local: Cave; ","Campo, Jardins, Panorâmicas, Pastagens, Serra; ","Nascente, Poente; ",
Loja,,2,,110,,Cert.Energ.: C,Venda,Loja,Usado,99.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190166,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Escolas, Serviços Públicos, Supermercado; ",Área (m2): 110; Nº Divisões: 1; Luz Natural: 75%; ,,,,,,,,,
Moradia,,,,57,,Cert.Energ.: D,Venda,Moradia,Usado,179.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190165,,,"Acessos: Bons; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 1; ,Companhia; ,,,,,,Panorâmicas; ,"Nascente, Poente; ",
Apartamento 3 quartos,3,3,2,150,,,Venda,Apartamento,Novo,280.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314190241,,,"Acessos: Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Centros Comerciais, Escolas, Farmácia, Jardins, Padaria, Supermercado; ",,,"Vidro Duplo; Estores: Alumínio, Eléctricos; ",Ar Condicionado: Completo; ,,"Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Pintado; Pavimento: Granito; Paredes: Pintadas; Tecto: Falso Pladur, Focos; Equipamento: Gás Canalizado; ",Portão Automático; Local: Cave; ,,,
Apartamento 4 quartos,4,3,1,172,,Cert.Energ.: D,Venda,Apartamento,Usado,176.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190163,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 6; ,Companhia; ,Dupla; ,Ar Condicionado: Pré-Instalação; ,,"Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; ",Local: Cave; ,Panorâmicas; ,"Nascente, Norte, Sul; ",
Apartamento 3 quartos,3,2,,,,,Venda,Apartamento,Usado,140.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",314190239,,,"Acessos: Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Escolas, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 1; ,,Estores: PVC; ,,Escritório; ,Tipo empreendimento: Habitação; Revestimento Exterior: Pastilha; ,,,"Nascente, Poente; ",
Apartamento Estúdio,0,1,,40,,Cert.Energ.: C,Venda,Apartamento,Planta,110.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190161,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 3; ,Companhia; ,"Dupla, Vidro Duplo; ",,Gás Canalizado; ,"Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; ",,Panorâmicas; ,,
Lote,,,,240,651,,Venda,Lote,N/D,70.308 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190159,,,,,,,,,,,,,
Lote,,,,240,645,,Venda,Lote,N/D,69.714 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190158,,,,,,,,,,,,,
Lote,,,,240,654,,Venda,Lote,N/D,70.632 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190157,,,,,,,,,,,,,
Lote,,,,240,654,,Venda,Lote,N/D,70.686 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190156,,,,,,,,,,,,,
Lote,,,,240,642,,Venda,Lote,N/D,69.390 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190155,,,,,,,,,,,,,
Lote,,,,240,646,,Venda,Lote,N/D,73.644 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190154,,,,,,,,,,,,,
Lote,,,,240,967,,Venda,Lote,N/D,110.238 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190153,,,,,,,,,,,,,
Lote,,,,192,421,,Venda,Lote,N/D,62.634 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190152,,,,,,,,,,,,,
Terreno Para Construção,,,,115,560,,Venda,Terreno Para Construção,N/D,115.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314190238,,,,,,,,,,,,,
Loteamento,,,,,1164,,Venda,Loteamento,N/D,300.000 €,Braga,Braga,Gualtar,"41.5649218171,-8.3884906768",285190149,A Efectuar; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,233,,Venda,Lote,N/D,77.500 €,Braga,Braga,Gualtar,"41.5649218171,-8.3884906768",285190148,A Efectuar; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,463,,Venda,Lote,N/D,87.500 €,Braga,Braga,Gualtar,"41.5649218171,-8.3884906768",285190147,A Efectuar; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,233,,Venda,Lote,N/D,77.500 €,Braga,Braga,Gualtar,"41.5649218171,-8.3884906768",285190146,A Efectuar; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Lote,,,,,233,,Venda,Lote,N/D,77.500 €,Braga,Braga,Gualtar,"41.5649218171,-8.3884906768",285190145,A Efectuar; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Apartamento 2 quartos,2,2,1,94,,Cert.Energ.: D,Venda,Apartamento,Usado,137.500 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190144,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; ,Companhia; ,,,,Tipo empreendimento: Habitação; Revestimento Exterior: Tijolinho; Hall de Entrada: Iluminação Aut.; Pavimento: Tijoleira; Tecto: Estucado; ,Portão Automático; Local: Cave; ,Panorâmicas; ,"Norte, Poente; ",
Moradia Geminada 5 quartos,5,3,5,360,,Cert.Energ.: A,Venda,Moradia Geminada,Usado,250.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314190231,,,"Acessos: Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Supermercado; ",Nº Pisos: 2; ,Companhia; ,Vidro Duplo; ,Aquecimento Central: Completo; ,Churrasqueira; ,Tipo empreendimento: Habitação; Equipamento: Jardins; ,"Água, Luz; ",Panorâmicas; ,,
Apartamento 3 quartos,3,2,1,110,,Cert.Energ.: F,Venda,Apartamento,Usado,99.900 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260190175,,,"Acessos: Auto-Estrada, Comboio, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 3; ,Companhia; ,Aluminio; Estores: Alumínio; ,,,"Tipo empreendimento: Habitação; Revestimento Exterior: Granito; Hall de Entrada: Iluminação Aut.; Pavimento: Tijoleira; Paredes: Pintadas; Tecto: Estucado; Equipamento: Gás Canalizado, Jardins, Parque Infantil, TV Cabo; ","Água, Área (m2): 10, Luz; Local: Cave; ",Panorâmicas; ,"Nascente, Poente; ",
Moradia Geminada 4 quartos,4,5,2,255,573,,Venda,Moradia Geminada,Construção,360.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro","41.5147438,-8.4554906",260190174,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Clínica, Escolas, Farmácia, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 1; ,Companhia; ,"Aluminio, Vidro Duplo; Estores: Eléctricos; ",Painel Solar; Aquecimento Central: Completo; Ar Condicionado: Completo; ,"Estores Eléctricos, Gás Canalizado, Video-Porteiro; Alarme: Completo; Aspiração Central: Completo; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Tecto: Falso Pladur, Focos; Equipamento: Gás Canalizado, Video-Porteiro; ","Área (m2): 41.4, Portão Automático; Local: Exterior; ",Jardins; ,,
Moradia 3 quartos,3,1,,30,154,,Venda,Moradia,Usado,65.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285190139,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Centros Comerciais, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Supermercado; ",Nº Frentes: 3; ,Companhia; ,,,,,,Panorâmicas; ,"Norte, Poente, Sul; ",
Moradia Isolada 4 quartos,4,3,2,300,736,,Venda,Moradia Isolada,Planta,425.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260190171,,,"Acessos: Bons; Centralidade: Periferia Cidade; Proximidade: Centros Comerciais, Escolas, Jardins, Padaria, Supermercado; ",Nº Frentes: 4; Nº Pisos: 1; ,Companhia; ,"Aluminio, Vidro Duplo; Estores: Eléctricos; ",Ar Condicionado: Completo; ,"Estores Eléctricos, Video-Porteiro; Alarme: Pré-Instalação; Aspiração Central: Completo; Piscina: Exterior; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Equipamento: Video-Porteiro; Piscina: Exterior; ",Área (m2): 47; Local: Exterior; ,,"Nascente, Sul; ",
Terreno Para Construção,,,,7300,7300,,Venda,Terreno Para Construção,N/D,320.000 €,Braga,Braga,Morreira e Trandeiras,"41.4965403,-8.4074568",314190211,,,,,,,,,,,,,
Apartamento 2 quartos,2,1,1,93,,Cert.Energ.: E,Venda,Apartamento,Usado,122.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",285190130,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 3; ,Companhia; ,,,,"Tipo empreendimento: Habitação, Lojas; Isolamento: Acústico, Térmico; Revestimento Exterior: Tijolinho; Pavimento: Granito; ","Água, Eletricidade; ",Panorâmicas; ,"Poente, Sul; ",
Armazém,,2,,700,,,Venda,Armazém,Usado,180.000 €,Braga,Braga,Sequeira,"41.5338323935,-8.4712314605",260190169,,,"Acessos: Auto-Estrada; Centralidade: Periferia Cidade; Proximidade: Escolas, Farmácia, Padaria, Supermercado; ","Área (m2): 700; Balneários, Electricidade Trifásica, Monta Cargas, Nº Divisões: 1; Quarto de Banho: Próprio; ",,,,,,,,,
Loja,,,,138,,Cert.Energ.: C,Venda,Loja,Usado,69.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",314190206,,,,,,,,,,,,,
Apartamento 2 quartos,2,1,,85,,Cert.Energ.: D,Venda,Apartamento,Usado,93.500 €,Braga,Braga,Lomar e Arcos,"41.5312459,-8.4275764",314190205,,,,,,,,,,,,,
Moradia Isolada 5 quartos,5,4,3,247,500,Cert.Energ.: D,Venda,Moradia Isolada,Usado,460.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314190202,,,,,,,,,,,,,
Apartamento Estúdio,0,1,,35,,,Venda,Apartamento,Novo,105.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",314190201,,,,,,,,,,,,,
Terreno Rústico,,,,,4700,,Venda,Terreno Rústico,N/D,130.000 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190124,,,Acessos: Terra Batida; Centralidade: Periferia Cidade; ,,,,,,,,,,
Terreno Para Construção,,,,,,,Venda,Terreno Para Construção,N/D,Sob Consulta,Braga,Braga,Adaúfe,"41.5846982111,-8.4027385711",285190121,,,,,,,,,,,,,
Terreno,,,,610,610,,Venda,Terreno,N/D,69.500 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285190120,A Efectuar; ,,Centralidade: Periferia Cidade; ,,,,,,,,,,
Apartamento 2 quartos,2,2,,87,,Cert.Energ.: D,Venda,Apartamento,Usado,120.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",314190199,,,,Nº Frentes: 2; Nº Pisos: 4; ,,Dupla; ,,,,,,"Norte, Sul; ",
Apartamento 2 quartos,2,1,,72,,Cert.Energ.: E,Venda,Apartamento,Usado,92.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260190157,,,,,,,,,,,,,
Apartamento 3 quartos,3,2,1,140,,,Venda,Apartamento,Novo,240.000 €,Braga,Braga,Nogueiró e Tenões,"41.5513972,-8.3864056",314190196,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Escolas, Farmácia, Jardins, Padaria, Serviços Públicos; ",Nº Frentes: 2; Nº Pisos: 4; ,,"Aluminio, Dupla, Vidro Duplo; Estores: Eléctricos, Térmicos; ",Aquecimento Central: Pré-Instalação; ,"Gás Canalizado, Video-Porteiro; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; ",Local: Cave; ,,,
Apartamento 3 quartos,3,2,1,140,,,Venda,Apartamento,Novo,235.000 €,Braga,Braga,Nogueiró e Tenões,"41.5513972,-8.3864056",314190195,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Escolas, Farmácia, Jardins, Padaria, Serviços Públicos; ",Nº Frentes: 2; Nº Pisos: 4; ,,"Aluminio, Dupla, Vidro Duplo; Estores: Eléctricos, Térmicos; ",Aquecimento Central: Pré-Instalação; ,"Gás Canalizado, Video-Porteiro; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; ",Local: Cave; ,,,
Apartamento 3 quartos,3,2,1,140,,,Venda,Apartamento,Novo,230.000 €,Braga,Braga,Nogueiró e Tenões,"41.5513972,-8.3864056",314190194,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Escolas, Farmácia, Jardins, Padaria, Serviços Públicos; ",Nº Frentes: 2; Nº Pisos: 4; ,,"Aluminio, Dupla, Vidro Duplo; Estores: Eléctricos, Térmicos; ",Aquecimento Central: Pré-Instalação; ,"Gás Canalizado, Video-Porteiro; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; ",Local: Cave; ,,,
