Nome,Nº Quartos,Nº Casas de Banho,Nº Estacionamentos,Área Útil,Área Terreno,Certificado Energia,Finalidade,Tipo de Imóvel,Estado,Preço de Venda,Distrito,Concelho,Freguesia,Coordenadas,Referência,Infraestruturas,Tipo de modalidade,Zona,Constituição,Sistema de abastecimento de água,Caixilharia das Janelas,Climatização,Domótica,Edifício,Garagem,Vistas,Exposição Solar,Segurança
Apartamento 3 quartos,3,2,,81,,Cert.Energ.: C,Venda,Apartamento,Usado,95.500 €,Braga,Braga,Lomar e Arcos,"41.5312459,-8.4275764",314200108,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Escolas, Farmácia, Jardins, Jardins Infância, Padaria, Supermercado; ",,Companhia; ,,,,,,"Jardins, Panorâmicas; ",,
Moradia Isolada 4 quartos,4,4,2,536,2448,Cert.Energ.: F,Venda,Moradia Isolada,Usado,220.000 €,Braga,Braga,Lomar e Arcos,"41.5312459,-8.4275764",314200107,,,,,,,,,,,,,
Apartamento 3 quartos,3,2,1,90,,Cert.Energ.: C,Venda,Apartamento,Usado,149.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260200106,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Jardins Infância, Padaria, Supermercado; ",Nº Frentes: 2; Nº Pisos: 4; ,Companhia; ,"Aluminio, Vidro Duplo; Estores: PVC; ",Esquentador; ,Gás Canalizado; ,"Tipo empreendimento: Habitação; Revestimento Exterior: Cerâmica; Pavimento: Granito, Mármore; Paredes: Tijoleira; Tecto: Estucado, Ponto de Luz; ","Área (m2): 15, Eletricidade, Luz, Portão Automático; Local: Cave; ","Panorâmicas, Serra; ","Nascente, Poente; ",
Lote,,,,255,711,,Venda,Lote,N/D,80.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200104,Concluídas; ,,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Moradia Isolada 4 quartos,4,3,2,256,724,,Venda,Moradia Isolada,N/D,150.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200103,,,,,,,,,,,,,
Lote,,,,210,210,,Venda,Lote,N/D,48.000 €,Braga,Braga,Padim da Graça,"41.5666557042,-8.4895133972",260200101,A Efectuar; ,Reservado p/ Urbanização; ,Acessos: Calçada; Centralidade: Distante Cidade; ,,,,,,,,,,
Terreno Para Construção,,,,,15270,,Venda,Terreno Para Construção,N/D,850.000 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285200049,A Efectuar; ,"Reservado p/ Urbanização, Residencial; ",Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Moradia em Banda 3 quartos,3,3,1,122,207,Cert.Energ.: C,Venda,Moradia em Banda,Usado,220.000 €,Braga,Braga,Nogueiró e Tenões,"41.5513972,-8.3864056",285200048,,,"Acessos: Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Centros Comerciais, Escolas, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Supermercado; ",Nº Frentes: 2; Nº Pisos: 2; ,Companhia; ,Dupla; ,Aquecimento Central: Completo; ,Gás Canalizado; ,"Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; ",Eletricidade; Local: Exterior; ,Panorâmicas; ,,
Moradia em Banda,,,,,180,,Venda,Moradia em Banda,Novo,110.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200099,,,,,,,,,,,,,
Lote,,,,320,703,,Venda,Lote,N/D,88.500 €,Braga,Braga,Este (São Pedro e São Mamede),"41.5627251,-8.3694493",285200047,,,,,,,,,,,,,
