Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
"Moradia Individual em Penso, Braga",15373936,,169 000 ,2 113 ,Braga (distrito),Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),,T3,1,80 m²,80 m²,1997,,,,,,,,,,,Usado,,True,,,,True,,,,,True,,,,,,True,,,,,,,,True,,,True,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 em Braga, na Urbanização Europa",15271422,,149 000 ,1 007 ,Braga (distrito),Braga,Ferreiros e Gondizalves,Rua Doutor Manuel de Almeida Passos - Ferreiros,T3,2,148 m²,148 m²,2003,,,True,True,True,True,,,,,,,,,,não,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 de charme,13735756,,290 000 ,1 142 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,T4,4 ou mais,254 m²,,,,,True,,True,,,True,True,True,Novo,,,True,,,True,True,,,,,,,,,,,,True,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia em Banda T4+1 em Fraião – Braga,15384499,,355 000 ,1 315 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,T4,,270 m²,,2010,B,,True,True,True,,,,True,,Usado,,True,True,True,não,True,,,True,,True,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T3 c/ garagem box, em fa...",15381402,,190 000 ,1 439 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,T3,3,132 m²,"167,50 m²",2021,A+,,,True,,,,True,True,,Em construção,,,,True,não,True,True,,,,,,,,,,True,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T2 c/ garagem box, em fa...",15381368,,175 000 ,1 591 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,T2,2,110 m²,"128,60 m²",2021,A+,,,True,,,,True,True,,Em construção,,,,True,não,True,True,,,,,,,,,,True,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T4 Centro Histórico,15218490,,320 000 ,1 067 ,Braga (distrito),Braga,São Vicente,,T4,2,300 m²,320 m²,2018,,,,,,,,True,True,,Renovado,True,True,,True,não,,,,,True,True,,,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia em Banda,13083049,,210 000 ,840 ,Braga (distrito),Braga,Palmeira,,T3,3,250 m²,260 m²,,,,,True,,,,,,,Novo,,,,True,não,,,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T2 c/ garagem box, em fa...",15381279,,180 000 ,1 500 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,T2,3,120 m²,"155,60 m²",2021,A+,,,True,,,,True,True,,Em construção,,,,True,não,True,True,,,,,,,,,,True,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Apartamento T1 c/ garagem box, em fa...",15381232,,110 000 ,1 833 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,T1,1,60 m²,"93,50 m²",2021,A+,,,True,,,,,True,,Em construção,,,,True,não,True,True,,,,,,,,,,True,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3: SUÍTE + Garagem + Elevador - CENTRO,15384098,,189 000 ,1 322 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua da Boavista - Sé,T3,2,143 m²,,,Isento,True,True,,,True,,True,True,,Renovado,,,,,,,True,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 em zona sossegada da cidade,14532403,,117 500 ,839 ,Braga (distrito),Braga,Ferreiros e Gondizalves,,T3,2,140 m²,,,,,,,True,True,,,True,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T3 Nova em Lamaçães, Braga",15382296,,,,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,T3,,194 m²,277 m²,2020,B,,True,True,,,,,True,,Novo,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia Individual com piscina - Adaúfe - Braga,15373786,,350 000 ,1 296 ,Braga (distrito),Braga,São Vicente,,T4,,270 m²,500 m²,,,,,True,,,,,,,Em construção,,,,,não,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 - Central Camionagem - Braga,15339050,,137 500 ,1 165 ,Braga (distrito),Braga,São Vicente,,T3,,118 m²,118 m²,,,,,True,,,,,,True,Usado,,,,,não,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T6 com lote de 3000 m2 em Pousada-Braga,15373790,,430 000 ,1 419 ,Braga (distrito),Braga,Crespos e Pousada,Rua da Escola,T6,4 ou mais,303 m²,433 m²,2006,A+,,True,True,,True,,True,,,Usado,True,,,,,True,,,,,True,,,,,,True,True,,,,,True,True,,,,True,True,,True,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 em Maximinos, Braga",15381554,,78 000 ,918 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua Cónego Doutor António José Ribeiro,T2,1,85 m²,110 m²,1988,,,,True,,,,,,,,,,,,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
