Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Apartamento T3 São Vicente - Renovado,15355921,Apartamento,136 000 ,1 133 ,Braga (distrito),Braga,São Vicente,Rua Nossa Senhora da Luz - São Vicente,,,T3,2,120 m²,125 m²,2020,E,,True,,True,,,,True,True,Renovado,,,,True,não,,True,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia térrea completamente restaurada junto a ribeiro,15410757,Moradia,132 500 ,1 472 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),Travessa da Alagoa,,,T2,1,90 m²,115 m²,2020,,,True,,,,,,,,Renovado,,,,,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 em Nogueira - Braga,15430759,Apartamento,154 900 ,1 147 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua do Cruzeiro Gracia Pires,,,T3,2,135 m²,150 m²,2003,C,True,True,True,True,,,True,True,True,Usado,True,,True,True,,,True,,True,,,,,,,,True,True,,,,,,True,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T2 Térrea Renovada C/ 1.373 m2 de terreno em Este S. Pedro,15430740,Moradia,160 000 ,1 905 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),Rua Velha de Novainho - São Pedro ( Este),,,T2,1,84 m²,84 m²,1990,C,True,True,,True,,,,,,Renovado,,,,,,,,,,,True,,,True,,,True,,,True,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 na Quinta dos Apóstolos, em Ferreiros - Braga",15430734,Apartamento,85 000 ,726 ,Braga (distrito),Braga,Ferreiros e Gondizalves,Rua Quinta dos Apóstolos - Ferreiros,,,T3,2,117 m²,132 m²,1993,C,,,,True,True,,,True,True,Usado,,,,,,,True,,True,,,,,,,,True,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 em S. Victor- Braga,15431035,Apartamento,159 900 ,1 211 ,Braga (distrito),Braga,São Victor,,,,T3,1,132 m²,149 m²,2005,,,,True,,,,,True,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 c/156 m2 em Celeirós, Braga!",15427732,Apartamento,145 000 ,929 ,Braga (distrito),Braga,"Celeirós, Aveleda e Vimieiro",Rua da Cruz,,,T3,2,156 m²,127 m²,2005,B-,,True,True,,,,True,True,True,Usado,,,,,não,,True,,,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 em condomínio fechado – Oferta da escritura,15422995,Apartamento,250 000 ,1 603 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,,T3,4 ou mais,156 m²,177 m²,2020,A+,,,True,,True,,True,True,,Novo,True,,True,True,sim,True,True,,,,True,,True,,,,True,,,,,,,True,,,,True,,,,,,,,,,,,,,,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 Novo na malha do Centro Histórico,15022071,Apartamento,173 000 ,1 573 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua da Boavista - Sé,,,T3,2,110 m²,,2020,,True,,,True,,,,True,,Novo,,,,,,,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Empreendimento com T0/T1, localizado no centro histórico de Braga",15430188,Apartamento,110 000 ,4 583 ,Braga (distrito),Braga,São Victor,Rua de São Victor - São Victor,,,T1,1,24 m²,,,,,,,,,,,,,Renovado,,,,,não,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
